studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
0258,shaoen-2002-06-20,2002-06-20,2008-12-31,20 Jun 2002,2002-06-20,False,M,styani,SHAOEN,9791,9988,
0259,rouge-2002-06-20,2002-06-20,2019-12-30,20 Jun 2002,2002-06-20,False,F,styani,TYA-HOHU,9791,9988,
0261,you-you-2002-06-21,2002-06-21,2022-08-17,21 Jun 2002,2002-06-21,False,F,styani,YUYU,9792,UNK,
0262,fin-fin-2002-06-20,2002-06-20,2018-02-06,20 Jun 2002,2002-06-20,False,F,styani,TANPOPO,9997,9991,
0263,umi-2002-06-24,2002-06-24,2014-06-29,24 Jun 2002,2002-06-24,False,M,styani,JAZGA,9593,9994,
0265,chata-2002-06-25,2002-06-25,2014-12-18,25 Jun 2002,2002-06-25,False,M,styani,JAZGA,UNK,9788,
0269,ron-ron-2002-06-28,2002-06-28,2021-12-13,28 Jun 2002,2002-06-28,False,M,styani,JAZGA,9998,9992,
0270,kirara-2002-06-29,2002-06-29,2013-04-23,29 Jun 2002,2002-06-29,False,F,styani,JAZGA,UNK,UNK,
0271,shin-fa-2002-06-29,2002-06-29,2008-10-05,29 Jun 2002,2002-06-29,False,F,styani,SHI-NHOWA JAZGA,8977,9445,2008-10-05
0274,tashan-2002-07-01,2002-07-01,2022-10-06,1 Jul 2002,2002-07-01,False,M,styani,TA-REI,9791,9989,
0275,tarrei-2002-07-01,2002-07-01,2021-12-20,1 Jul 2002,2002-07-01,False,M,styani,TARREI,9791,9989,
0276,katsuo-2002-07-02,2002-07-02,2010-11-30,2 Jul 2002,2002-07-02,False,M,styani,KATSUO,98024,9696,
0277,maguro-2002-07-02,2002-07-02,2007-08-05,2 Jul 2002,2002-07-02,False,M,styani,MAGURO,98024,9696,2007-08-05
0278,ramy-2002-07-12,2002-07-12,2016-11-01,12 Jul 2002,2002-07-12,False,M,styani,RAMY,9596,96108,
0279,nono-2002-07-15,2002-07-15,2017-05-08,15 Jul 2002,2002-07-15,False,M,styani,NONO,97111,93107,
0280,nami-2002-07-15,2002-07-15,2023-09-04,15 Jul 2002,2002-07-15,False,F,styani,NAMI,97111,93107,
0283,suika-2002-08-04,2002-08-04,2016-02-03,4 Aug 2002,2002-08-04,False,M,styani,SUIKA,9598,UNK,
0293,min-min-2002-07-17,2002-07-17,2022-02-13,17 Jul 2002,2002-07-17,False,M,styani,JAZGA,95122,9280,
0294,aiai-2002-07-17,2002-07-17,2022-01-04,17 Jul 2002,2002-07-17,False,F,styani,JAZGA,95122,9280,
0304,rufus-2003-06-18,2003-06-18,,18 Jun 2003,2003-06-18,False,M,styani,,0094,0095,
0360,non-non-2003-06-16,2003-06-16,2021-04-01,16 Jun 2003,2003-06-16,False,M,styani,NON-NON,9052,9787,
0361,chi-chi-2003-06-16,2003-06-16,2015-07-18,16 Jun 2003,2003-06-16,False,F,styani,TYI-TYI,9052,9787,
0363,mei-2003-06-21,2003-06-21,2006-08-26,21 Jun 2003,2003-06-21,False,F,styani,MEI,0085,0086,2006-08-26
0366,futa-2003-07-05,2003-07-05,,5 Jul 2003,2003-07-05,False,M,styani,FUUTA,9794,00103,
0368,chatarou-2003-06-26,2003-06-26,2016-10-27,26 Jun 2003,2003-06-26,False,M,styani,JAZGA,9997,9991,
0369,kitarou-2003-06-26,2003-06-26,2019-08-06,26 Jun 2003,2003-06-26,False,M,styani,KITARO,9997,9991,
0370,kou-kou-2003-07-15,2003-07-15,2025-03-16,15 Jul 2003,2003-07-15,False,M,styani,KOU-KOU,95122,9486,
0371,yuuki-2003-07-15,2003-07-15,2019-07-01,15 Jul 2003,2003-07-15,False,M,styani,YUUKI,95122,9486,
0372,shin-shin-2003-07-15,2003-07-15,2013-04-07,15 Jul 2003,2003-07-15,False,M,styani,SHIN-SHIN JAZGA,95122,9486,
0375,non-2003-07-25,2003-07-25,2025,25 Jul 2003,2003-07-25,False,M,styani,JAZGA,97111,93107,
0386,taiyo-2003-07-03,2003-07-03,2017-03-04,3 Jul 2003,2003-07-03,False,M,styani,JAZGA,9792,98034,
0412,malikha-2004-06-08,2004-06-08,2016-02-21,8 Jun 2004,2004-06-08,False,F,styani,,9383,0020,
0413,harold-2004-06-08,2004-06-08,2016-05-31,8 Jun 2004,2004-06-08,False,M,styani,,9383,0020,
0437,dusk-2004-06-02,2004-06-02,2023-01-10,2 Jun 2004,2004-06-02,False,M,styani,,0094,0095,
0457,gaia-2004-06-10,2004-06-10,2025-11-20,10 Jun 2004,2004-06-10,False,M,styani,JAZGA,9446,97100,
0458,koai-2004-06-10,2004-06-10,,10 Jun 2004,2004-06-10,False,F,styani,KO-I,9446,97100,
0459,sakura-2004-06-17,2004-06-17,2024-03-08,17 Jun 2004,2004-06-17,False,F,styani,JAZGA,9997,9991,
0460,sumire-2004-06-17,2004-06-17,2026,17 Jun 2004,2004-06-17,False,F,styani,JAZGA,9997,9991,
0461,ren-2004-06-17,2004-06-17,2016-05-14,17 Jun 2004,2004-06-17,False,M,styani,REN,0096,0086,
0462,chao-2004-06-17,2004-06-17,2012-12-04,17 Jun 2004,2004-06-17,False,M,styani,TYAO,0096,0086,
0463,nana-2004-06-17,2004-06-17,2008-11-27,17 Jun 2004,2004-06-17,False,F,styani,NANA,0096,0086,2008-11-27
0464,aporo-2004-06-28,2004-06-28,2023-04-03,28 Jun 2004,2004-06-28,False,M,,APORO,9998,9992,
0465,luna-2004-06-28,2004-06-28,2022-01-18,28 Jun 2004,2004-06-28,False,F,,RUNA,9998,9992,
0467,toro-2004-06-29,2004-06-29,2022-01-05,29 Jun 2004,2004-06-29,False,M,styani,TORO,0277,0256,
0468,lala-2004-06-29,2004-06-29,,29 Jun 2004,2004-06-29,False,F,,RARA,0277,0256,
0469,shi-ren-2004-06-29,2004-06-29,,29 Jun 2004,2004-06-29,False,M,styani,SHI-REN,9791,9989,
0470,foa-foa-2004-06-29,2004-06-29,2022-07-29,29 Jun 2004,2004-06-29,False,F,styani,FOA-FOA,9791,9989,
0471,luli-2004-06-29,2004-06-29,2019-10-01,29 Jun 2004,2004-06-29,False,F,,PI-PA,8977,9444,
0477,konta-2004-07-10,2004-07-10,2014-08-05,10 Jul 2004,2004-07-10,False,M,styani,TARA,98024,9696,
0480,riku-2004-07-13,2004-07-13,2015-11-08,13 Jul 2004,2004-07-13,False,M,styani,RIKU,95107,UNK,
0482,ichi-2004-07-23,2004-07-23,2021-11-17,23 Jul 2004,2004-07-23,False,M,styani,JAZGA,9598,96109,
0483,matsu-2004-07-23,2004-07-23,2016-11-27,23 Jul 2004,2004-07-23,False,M,styani,JAZGA,9598,96109,
0500,rusty-2005-05-16,2005-05-16,2023-06-09,16 May 2005,2005-05-16,False,F,styani,,0094,0095,
0501,rover-2005-05-16,2005-05-16,2015-11-23,16 May 2005,2005-05-16,False,M,styani,,0094,0095,
0502,qin-2005-06-23,2005-06-23,2019-04-15,23 Jun 2005,2005-06-23,False,M,styani,,0275,0257,
0547,shan-tou-2005-05-10,2005-05-10,2015-11-12,10 May 2005,2005-05-10,False,F,styani,SHAN TOU,9791,9988,
0550,hao-2005-06-14,2005-06-14,2019-12-30,14 Jun 2005,2005-06-14,False,M,styani,JAZGA,0277,0271,
0551,hana-2005-06-21,2005-06-21,2023-02-23,21 Jun 2005,2005-06-21,False,F,styani,HANA,9997,9991,
0552,kirara-2005-06-23,2005-06-23,2016-02-01,23 Jun 2005,2005-06-23,False,F,styani,KIRARA,0096,9787,
0553,ron-2005-06-23,2005-06-23,2021-02-16,23 Jun 2005,2005-06-23,False,M,styani,RYU,0096,9787,
0554,seita-2005-06-23,2005-06-23,2024-11-30,23 Jun 2005,2005-06-23,False,M,styani,SEITA,0096,9787,
0555,yukiko-2005-06-23,2005-06-23,2021-10-27,23 Jun 2005,2005-06-23,False,M,styani,TAKE,0276,0256,
0556,noko-2005-06-23,2005-06-23,2010-12-25,23 Jun 2005,2005-06-23,False,M,styani,NOKO,0276,0256,
0557,rinta-2005-06-25,2005-06-25,2009-07-14,25 Jun 2005,2005-06-25,False,M,styani,JAZGA,98035,0280,
0558,raichi-2005-06-25,2005-06-25,2026-01-29,25 Jun 2005,2005-06-25,False,M,styani,JAZGA,98035,0280,
0559,taichi-2005-07-01,2005-07-01,2025-04-30,1 Jul 2005,2005-07-01,False,M,styani,TAICHI,9792,98034,
0570,an-an-2005-07-07,2005-07-07,2017-11-28,7 Jul 2005,2005-07-07,False,F,styani,ANAN,95107,01109,
0571,ma-ma-2005-07-07,2005-07-07,2022-06-29,7 Jul 2005,2005-07-07,False,F,styani,MA-MA,95107,01109,
0573,kotarou-2005-07-08,2005-07-08,2026-07-29,8 Jul 2005,2005-07-08,False,M,styani,KOTAROU,00102,0261,
