stud,sex,birth,sire,dam,taxon,name,death,events
9318,M,20 Jun 1993,9037,8947,fulgens,,2006-09-07,HELSINKI      20 Jun 1993 930079     Birth      KOLA                   fulgens | HEIDELBRG     17 Nov 1994 941298     Transfer | LA FRONTI      3 Feb 1999 PR256      Transfer | 7 Sep 2006            Death | [Death by: Unknown means]
9319,F,20 Jun 1993,9037,8947,fulgens,,2006-05-22,HELSINKI      20 Jun 1993 930080     Birth      KAKAO                  fulgens | HUNBSTRND     28 Jun 1996 960211     Transfer | 22 May 2006            Death | [Death by: Unknown means]
9340,M,20 Jun 1993,9145,9148,fulgens,,1993-06-21,NZP-CRC       20 Jun 1993 111024     Birth                             fulgens | 21 Jun 1993            Death | [Death by: Unknown means]
9341,F,20 Jun 1993,9145,9148,fulgens,,1993-06-21,NZP-CRC       20 Jun 1993 111025     Birth                    fulgens | 21 Jun 1993            Death | [Death by: Unknown means]
9342,F,20 Jun 1993,9145,9148,fulgens,,1993-06-21,NZP-CRC       20 Jun 1993 111026     Birth                    fulgens | 21 Jun 1993            Death | [Death by: Unknown means]
9355,F,20 Jun 1993,8012,8951,fulgens,,2004-10-07,NZP-WASH      20 Jun 1993 111029      Birth     MING          fulgens | NZP-CRC       21 Apr 1994 111029      Transfer | BELFAST       31 Oct 1996    2413     Transfer | 7 Oct 2004             Death                   fulgens | [Death by: Euthanasia (medical)           Unknown      Generalized    Unknown after necropsy]
9356,F,20 Jun 1993,8012,8951,fulgens,,1993-10-22,NZP-WASH      20 Jun 1993 111030      Birth                   fulgens | 22 Oct 1993             Death | [Death by: Other/Unknown           Incinerate    Necropsy planned later]
9389,M,21 Jun 1993,9151,8512,fulgens,,1993-06-21,SCOTTSBLU  21 Jun 1993     778     Birth                      fulgens | 21 Jun 1993             Death | [Death by: Other/Unknown        Incinerate      Musculoskeletal    Mechanical abnormality]
9390,F,21 Jun 1993,9052,9167,,,2002-12-04,MIYAZAK | 21 Jun 1993 ______     Birth               JAZGA 211C   styani | 4 Dec 2002            Death | [Death by: Infection associated   Unknown   Digestive   Unknown after necropsy]
9391,F,21 Jun 1993,9052,9167,,,2002-10-27,MIYAZAK | 21 Jun 1993 ______     Birth     FUMI      JAZGA 212C   styani | 27 Oct 2002            Death | [Death by: Infection associated   Unknown   Digestive   Unknown after necropsy]
9306,F,22 Jun 1993,8731,8864,fulgens,,2008-01-09,BARCELONA     22 Jun 1993   3770     Birth      Mary-Carme    fulgens | HEIDELBRG     20 Dec 1994 941299     Transfer | PRAHA         11 Sep 1998 980121     Transfer | OSTRAVA        4 Jun 2007 205407     Transfer | 9 Jan 2008            Death | [Death by: Unknown means]
9307,F,22 Jun 1993,8731,8864,fulgens,,2000-08-11,BARCELONA     22 Jun 1993   3771     Birth      MONICA        fulgens | AGRATE        16 Nov 1994    888     Transfer | 11 Aug 2000            Death | [Death by: Other/Unknown        Mounted or Preserved:          Necropsy planned later    Unknown after necropsy]
9392,M,22 Jun 1993,8920,8926,styani,JAZGA,1993-06-22,HAMAMATSU     22 Jun 1993 ______     Birth                JAZGA 213C   styani | 22 Jun 1993            Death | [Death by: Unknown means]
9300,M,23 Jun 1993,8506,8614,fulgens,,1996-01-24,DUISBURG   23 Jun 1993   2256        Birth                             fulgens | LA PALMYR  27 Oct 1994   1671        Transfer | 24 Jan 1996               Death | [Death by: Infection associated           Mounted or Preserved:    Digestive      Bacterial]
